CustomerID,Lookalikes
C0001,"[('C0048', 0.9988131763343648), ('C0190', 0.9984971129714506), ('C0181', 0.9955347722663608)]"
C0002,"[('C0088', 0.9964154521936507), ('C0106', 0.9918544413827944), ('C0056', 0.9898548610180892)]"
C0003,"[('C0052', 0.995432637780922), ('C0152', 0.9945494521998844), ('C0031', 0.9935836242120306)]"
C0004,"[('C0155', 0.9916847061333532), ('C0169', 0.9914183963718353), ('C0087', 0.9883351424623662)]"
C0005,"[('C0186', 0.9984380812786071), ('C0146', 0.9955475810865927), ('C0007', 0.9947173813213462)]"
C0006,"[('C0168', 0.9961251794488245), ('C0171', 0.9951009420479034), ('C0187', 0.9946241457700293)]"
C0007,"[('C0115', 0.9957419903511233), ('C0005', 0.9947173813213462), ('C0140', 0.9916906725539095)]"
C0008,"[('C0065', 0.9798883625128377), ('C0059', 0.970652290441741), ('C0160', 0.9610681213388521)]"
C0009,"[('C0198', 0.9940300230893483), ('C0062', 0.9838016444689021), ('C0103', 0.9813044843823968)]"
C0010,"[('C0111', 0.9953935542294177), ('C0103', 0.9916234336994395), ('C0062', 0.9869709432703385)]"
C0011,"[('C0137', 0.998228597983846), ('C0126', 0.9969352514932721), ('C0191', 0.9957176148671207)]"
C0012,"[('C0195', 0.9975438434339994), ('C0113', 0.9952269053396442), ('C0163', 0.9944261933720235)]"
C0013,"[('C0099', 0.997805705759933), ('C0108', 0.9965410579609718), ('C0107', 0.9854224709545019)]"
C0014,"[('C0060', 0.9921727195733175), ('C0166', 0.9499073199690263), ('C0164', 0.9348115317510513)]"
C0015,"[('C0131', 0.9915150782702666), ('C0036', 0.9897392527692536), ('C0125', 0.9677263362333102)]"
C0016,"[('C0183', 0.9993304966050303), ('C0067', 0.994942353214655), ('C0030', 0.9888681798675547)]"
C0017,"[('C0075', 0.9941209336425443), ('C0041', 0.9870066656524561), ('C0081', 0.9865763561697439)]"
C0018,"[('C0117', 0.9899335649555039), ('C0046', 0.9882035554574415), ('C0122', 0.9842223846724176)]"
C0019,"[('C0081', 0.9872353465006507), ('C0121', 0.9821386629385358), ('C0017', 0.96713327036904)]"
C0020,"[('C0050', 0.9810701679639819), ('C0035', 0.9594749108100803), ('C0026', 0.9591473647897341)]"
